record_id,shift,machine_type,operator_level,zone,maintenance_status,ppe_compliance,temperature_c,distance_cm,vibration_mm_s,humidity_pct,pressure_bar,noise_db,runtime_min,operator_fatigue_score,near_miss_last_30d,inspection_delay_days,crew_size,risk_level
208,afternoon,cutter_D,junior,heat_area,delayed,ok,43.99,23.99,4.25,68.73,6.16,79.85,130.6,7.2,0,2,2,unsafe
209,morning,furnace_C,mid,assembly,on_time,ok,28.81,91.86,4.11,,7.57,77.37,240.9,5.7,1,4,3,safe
210,morning,cutter_D,junior,assembly,on_time,ok,39.79,120.29,1.31,55.76,5.84,76.57,134.6,0.5,0,9,4,safe
211,afternoon,press_A,senior,loading,on_time,ok,41.27,71.31,5.31,54.93,5.84,75.76,108.7,2.0,3,8,3,unsafe
212,afternoon,press_A,junior,heat_area,delayed,ok,62.59,138.7,11.36,51.37,7.63,97.28,112.8,0.7,1,6,2,unsafe
213,afternoon,press_A,junior,assembly,on_time,ok,27.21,28.88,7.27,45.94,7.89,70.79,101.7,,0,4,3,unsafe
214,morning,press_A,mid,loading,on_time,ok,25.76,129.69,10.32,57.49,6.38,76.49,133.8,5.3,2,3,1,safe
215,afternoon,press_B,junior,heat_area,on_time,partial,59.41,113.63,7.44,39.03,8.19,75.51,103.4,5.9,1,2,1,unsafe
216,morning,cutter_D,junior,loading,on_time,partial,56.08,37.94,7.76,35.07,5.1,80.78,133.6,3.3,1,2,3,unsafe
217,morning,press_A,junior,heat_area,on_time,ok,35.15,174.88,9.84,69.4,8.29,76.02,88.9,6.7,1,3,2,safe
218,afternoon,press_A,junior,maintenance,on_time,ok,56.98,77.77,6.33,62.18,9.29,81.51,157.0,6.8,1,4,4,unsafe
219,afternoon,press_B,senior,maintenance,on_time,ok,44.45,59.29,5.09,52.92,7.98,63.61,168.6,,0,2,2,safe
220,night,cutter_D,junior,heat_area,delayed,ok,67.1,40.75,8.77,75.31,3.79,94.33,183.4,3.6,0,1,2,unsafe
221,afternoon,press_B,mid,heat_area,delayed,partial,53.16,82.3,9.7,48.25,6.57,84.69,170.2,4.8,2,7,3,unsafe
222,afternoon,press_B,senior,heat_area,on_time,ok,23.73,85.54,4.44,70.52,8.1,67.81,214.1,8.6,2,5,3,safe
223,morning,press_A,mid,maintenance,critical,ok,42.18,83.59,6.21,,5.95,58.58,139.2,8.4,1,6,2,unsafe
224,afternoon,press_A,senior,heat_area,,ok,66.72,69.58,6.81,37.65,8.15,70.21,133.0,6.0,0,6,2,unsafe
225,morning,cutter_D,junior,assembly,critical,ok,33.28,112.16,9.63,77.87,7.26,80.82,95.2,3.8,0,4,3,unsafe
226,morning,cutter_D,senior,assembly,on_time,ok,39.34,76.43,7.26,65.87,5.58,106.22,192.0,6.7,2,1,2,safe
227,night,press_A,junior,heat_area,on_time,ok,51.89,12.28,2.37,50.31,6.54,85.89,98.5,5.7,1,6,2,unsafe
228,afternoon,cutter_D,mid,heat_area,on_time,missing,19.21,84.77,9.71,62.18,5.34,66.73,46.9,3.2,0,5,3,safe
229,night,furnace_C,mid,maintenance,delayed,partial,76.06,,5.09,,5.76,74.79,92.8,1.7,3,6,1,unsafe
230,afternoon,cutter_D,junior,assembly,on_time,ok,33.18,102.38,4.92,63.61,5.78,82.52,199.3,5.5,1,7,4,unsafe
231,night,press_B,mid,heat_area,on_time,ok,60.07,55.72,3.51,18.52,8.83,83.28,179.7,4.9,0,5,3,unsafe
232,afternoon,press_B,mid,maintenance,on_time,partial,42.96,95.72,11.44,37.72,10.05,67.17,148.8,5.0,2,6,4,unsafe
233,afternoon,press_B,junior,maintenance,on_time,ok,59.09,135.99,6.03,65.71,5.44,77.79,356.8,0.5,1,4,2,unsafe
234,afternoon,furnace_C,junior,heat_area,on_time,ok,70.87,56.79,3.63,48.5,3.5,72.54,157.4,5.7,1,4,4,unsafe
235,morning,press_A,mid,heat_area,on_time,ok,51.18,117.14,7.4,54.91,6.18,69.07,84.6,0.0,2,4,1,safe
236,afternoon,press_A,mid,heat_area,on_time,partial,43.28,64.83,7.19,33.15,4.53,81.34,80.6,7.1,0,1,1,unsafe
237,morning,press_B,senior,maintenance,on_time,ok,53.57,151.36,5.09,77.87,7.36,85.96,170.1,5.9,1,3,1,safe
238,morning,furnace_C,mid,assembly,critical,ok,33.52,77.22,9.65,68.67,6.97,86.57,258.9,4.2,0,6,2,unsafe
239,afternoon,press_A,senior,maintenance,delayed,partial,51.75,50.58,4.68,49.19,8.44,84.17,132.1,6.0,2,6,1,unsafe
240,morning,furnace_C,mid,loading,critical,partial,42.81,122.05,6.72,46.33,6.26,74.52,159.8,2.7,1,2,2,unsafe
241,night,cutter_D,junior,heat_area,delayed,partial,69.03,74.75,2.08,66.41,6.25,91.43,164.0,6.9,1,5,2,unsafe
242,night,press_A,junior,assembly,on_time,ok,45.94,50.55,2.59,79.75,3.93,83.78,363.7,8.4,3,2,2,unsafe
243,night,furnace_C,mid,heat_area,on_time,ok,73.73,73.28,9.48,65.35,6.03,82.21,208.0,1.4,0,5,3,unsafe
244,afternoon,press_B,mid,heat_area,delayed,ok,54.98,88.44,10.11,82.41,7.39,73.49,233.2,3.9,1,8,2,unsafe
245,morning,cutter_D,junior,assembly,on_time,partial,22.97,136.98,5.64,39.09,7.33,78.53,82.8,5.3,2,5,3,safe
246,night,press_A,junior,loading,on_time,ok,,20.31,9.16,40.53,5.58,81.66,98.3,6.3,0,8,2,unsafe
247,afternoon,furnace_C,senior,maintenance,on_time,,64.07,90.81,5.15,35.35,5.43,100.96,94.3,7.9,0,5,4,unsafe
248,night,cutter_D,mid,loading,on_time,partial,46.0,119.87,4.96,58.18,4.58,87.71,116.9,3.8,1,2,2,safe
249,night,cutter_D,mid,loading,on_time,ok,58.17,104.77,5.62,54.46,3.52,79.5,137.4,4.9,1,4,4,unsafe
250,night,furnace_C,mid,assembly,on_time,ok,60.84,135.85,5.23,49.87,4.56,73.51,154.2,2.2,1,3,2,safe
251,morning,press_B,junior,heat_area,on_time,ok,42.4,87.4,5.03,63.33,5.26,74.57,127.3,8.5,3,4,4,unsafe
252,afternoon,furnace_C,junior,assembly,delayed,ok,46.45,83.54,9.02,69.25,6.44,98.6,93.2,4.8,0,5,1,unsafe
253,night,cutter_D,junior,loading,on_time,ok,45.24,118.73,5.83,30.64,5.83,81.41,73.6,5.8,0,3,3,unsafe
254,morning,furnace_C,junior,maintenance,on_time,ok,28.23,93.48,7.07,43.64,5.3,87.16,162.2,5.2,2,4,3,safe
255,morning,press_A,mid,loading,on_time,ok,64.08,74.34,7.77,63.48,5.22,75.62,186.0,6.1,1,2,1,unsafe
256,afternoon,cutter_D,mid,assembly,delayed,ok,49.3,108.07,7.35,,2.3,85.35,119.6,5.5,0,5,2,safe
257,night,furnace_C,senior,heat_area,on_time,ok,80.72,67.16,3.37,40.83,7.96,88.13,51.5,11.4,0,6,3,unsafe
258,afternoon,furnace_C,senior,loading,on_time,ok,37.03,76.61,2.52,66.26,4.7,73.85,206.9,5.8,1,4,2,unsafe
259,afternoon,press_A,junior,heat_area,on_time,partial,,61.52,5.83,33.95,5.96,73.23,117.0,4.3,0,5,1,unsafe
260,morning,furnace_C,mid,maintenance,on_time,ok,82.78,137.36,5.12,47.78,4.11,93.93,61.6,3.6,0,7,3,safe
261,afternoon,press_B,mid,maintenance,critical,ok,28.15,10.0,7.99,56.6,8.56,87.86,131.2,4.0,0,7,1,unsafe
262,night,furnace_C,senior,loading,critical,partial,65.26,111.85,7.76,43.97,6.19,88.12,214.0,3.0,1,2,3,unsafe
263,morning,press_A,junior,heat_area,on_time,ok,54.01,81.2,11.18,,5.43,86.09,106.4,5.4,0,9,1,safe
264,afternoon,furnace_C,mid,heat_area,on_time,missing,47.47,31.17,2.57,44.04,5.49,83.14,28.8,6.4,1,6,1,unsafe
265,night,cutter_D,mid,assembly,delayed,partial,49.91,100.84,2.12,71.72,8.68,103.16,113.8,4.9,1,2,2,unsafe
266,afternoon,press_A,junior,heat_area,on_time,ok,64.0,96.65,23.13700146555835,50.24,6.41,79.4,90.7,3.6,2,3,3,unsafe
267,afternoon,cutter_D,junior,heat_area,on_time,,46.79,110.64,4.67,61.4,6.26,88.2,143.5,8.5,3,5,4,unsafe
268,afternoon,press_B,mid,loading,on_time,ok,57.99,10.0,6.2,62.44,6.08,65.94,132.8,1.8,0,5,1,unsafe
269,afternoon,cutter_D,mid,loading,critical,ok,24.0,145.82,9.08,43.21,4.04,75.58,101.6,0.5,2,3,1,safe
270,morning,cutter_D,junior,assembly,on_time,ok,26.06,64.18,8.33,23.25,6.29,72.19,98.4,2.9,0,6,2,safe
271,night,furnace_C,mid,heat_area,on_time,ok,67.64,114.03,2.18,57.05,6.42,92.47,244.8,3.0,0,4,3,unsafe
272,night,furnace_C,junior,assembly,delayed,partial,56.3,115.94,5.28,53.01,7.43,58.03,169.6,7.5,2,5,2,unsafe
273,night,cutter_D,mid,assembly,on_time,ok,35.4,59.32,6.44,59.78,3.58,81.38,166.9,5.4,0,4,2,safe
274,night,press_B,junior,maintenance,on_time,ok,,113.12,7.2,48.83,5.84,54.06,201.2,6.2,1,4,2,safe
275,afternoon,press_B,senior,assembly,critical,ok,,76.51,12.63,45.97,6.55,71.52,116.5,,3,6,2,unsafe
276,afternoon,furnace_C,junior,heat_area,on_time,ok,76.3,17.5,7.6,80.12,6.0,74.58,276.8,3.8,4,0,2,unsafe
277,night,cutter_D,junior,assembly,on_time,ok,42.52,130.87,5.38,31.39,6.31,97.46,155.0,8.3,3,2,2,safe
278,afternoon,cutter_D,junior,maintenance,on_time,ok,51.23,62.87,3.54,62.28,6.34,86.57,139.9,8.5,2,8,3,unsafe
279,afternoon,cutter_D,junior,loading,on_time,partial,,68.09,4.26,43.96,7.03,132.12774272609585,154.0,4.3,0,5,4,safe
280,night,press_B,mid,assembly,on_time,ok,68.65,75.89,4.2,47.3,6.13,90.59,113.6,7.7,1,5,3,unsafe
281,night,cutter_D,junior,heat_area,on_time,partial,44.25,99.53,6.94,47.56,7.71,85.16,93.0,6.2,0,12,2,unsafe
282,morning,press_A,senior,loading,on_time,ok,69.26,86.0,6.07,40.75,7.06,79.34,224.2,6.7,3,3,2,unsafe
283,afternoon,press_B,junior,maintenance,delayed,partial,44.42,109.18,3.59,60.0,6.88,68.18,70.0,2.0,1,6,1,safe
284,morning,press_A,junior,assembly,on_time,ok,27.49,33.12,4.54,71.47,8.58,70.09,73.3,1.8,0,3,3,safe
285,afternoon,press_B,junior,maintenance,on_time,ok,60.42,64.02,7.43,58.58,9.32,71.57,124.9,4.5,2,3,2,unsafe
286,morning,press_B,junior,maintenance,on_time,ok,45.51,85.94,6.27,53.45,8.51,79.42,83.2,3.4,0,3,4,safe
287,afternoon,press_B,junior,maintenance,delayed,partial,54.21,156.43,7.75,38.19,3.38,79.7,51.6,4.2,1,8,2,unsafe
288,afternoon,furnace_C,mid,loading,on_time,ok,70.69,94.02,6.34,59.24,8.05,92.9,71.9,4.3,2,3,3,unsafe
289,morning,press_B,mid,loading,on_time,missing,48.06,135.98,9.08,82.19,8.33,82.47,84.5,6.3,0,2,3,safe
290,afternoon,press_B,mid,heat_area,on_time,ok,46.89,91.35,6.02,46.67,9.91,54.63,158.5,3.9,0,0,2,safe
291,morning,press_A,mid,loading,on_time,ok,55.71,71.07,4.65,46.74,8.11,81.36,120.0,3.1,1,6,3,safe
292,morning,press_B,mid,heat_area,on_time,ok,54.01,81.36,3.49,44.14,9.35,65.95,205.5,4.1,0,4,4,unsafe
293,night,press_A,junior,loading,delayed,missing,52.23,82.11,7.05,45.15,7.64,72.31,34.5,5.1,1,5,4,unsafe
294,afternoon,press_A,mid,heat_area,on_time,ok,28.16,101.13,0.13,13.57,8.25,71.69,69.8,2.8,0,6,3,safe
295,morning,furnace_C,senior,loading,on_time,partial,61.36,146.11,5.09,57.67,8.59,73.03,76.4,1.4,1,3,1,unsafe
296,afternoon,furnace_C,mid,maintenance,,partial,48.34,102.59,5.05,40.16,6.28,66.62,146.5,4.9,2,1,3,unsafe
297,night,furnace_C,mid,assembly,delayed,ok,75.84,131.55,3.5,,3.96,82.83,90.9,5.0,2,3,3,unsafe
298,morning,press_B,junior,maintenance,on_time,ok,51.48,56.23,3.46,62.54,6.9,66.3,110.7,7.3,1,3,2,unsafe
299,afternoon,press_B,mid,heat_area,on_time,ok,56.88,75.49,7.28,36.85,7.81,82.21,72.4,1.8,0,6,2,safe
300,morning,cutter_D,mid,maintenance,on_time,ok,49.84,64.65,6.01,47.26,6.6,103.13,69.7,3.7,3,4,1,unsafe
301,morning,press_B,mid,heat_area,on_time,partial,42.02,101.01,5.72,72.53,5.68,67.04,89.1,8.6,0,3,1,safe
302,afternoon,press_B,senior,heat_area,on_time,ok,73.48,77.44,6.17,32.27,5.18,76.44,211.5,2.8,2,7,3,unsafe
303,afternoon,press_A,junior,maintenance,on_time,ok,67.9,105.54,5.7,30.54,5.54,56.29,60.8,4.8,0,1,2,safe
304,afternoon,press_B,junior,heat_area,on_time,partial,58.71,57.41,8.23,55.77,8.35,76.29,223.5,2.7,1,8,1,unsafe
305,afternoon,press_B,mid,maintenance,on_time,ok,63.08,91.51,5.77,68.09,9.35,84.78,201.7,2.0,0,3,2,unsafe
306,night,press_B,senior,heat_area,on_time,ok,47.17,114.04,2.29,29.96,8.49,87.49,101.5,9.4,0,5,2,safe
307,afternoon,furnace_C,junior,heat_area,on_time,ok,56.43,17.71,9.09,57.71,7.37,79.7,132.6,5.7,0,5,2,unsafe
308,morning,press_B,junior,heat_area,on_time,ok,54.49,164.26,6.31,60.13,7.19,87.0,152.5,5.6,3,1,1,safe
309,night,furnace_C,junior,loading,delayed,ok,61.22,88.09,5.2,23.17,3.74,103.91,181.3,3.1,2,5,2,unsafe
310,morning,cutter_D,junior,heat_area,critical,partial,49.27,19.12,5.04,63.18,5.91,98.41,76.4,6.1,0,3,3,unsafe
311,afternoon,cutter_D,mid,assembly,critical,ok,50.45,95.53,8.67,64.27,6.16,78.3,191.7,7.2,0,4,1,unsafe
312,morning,furnace_C,mid,heat_area,,ok,69.68,91.17,6.24,47.64,5.35,65.94,138.0,7.2,1,6,2,safe
313,morning,cutter_D,junior,assembly,on_time,ok,32.02,87.13,8.96,69.53,6.57,79.34,79.4,6.7,0,5,1,safe
314,night,press_A,junior,maintenance,delayed,ok,50.23,114.69,5.74,67.91,7.07,72.48,138.7,4.3,0,2,2,safe
315,night,press_A,junior,maintenance,on_time,ok,54.36,106.16,3.66,53.44,7.61,85.06,78.9,7.4,1,3,2,safe
316,afternoon,press_A,junior,heat_area,on_time,missing,98.13758859408003,90.43,7.47,45.68,6.14,68.37,130.2,6.7,0,3,1,unsafe
317,afternoon,furnace_C,mid,loading,on_time,ok,69.83,113.76,7.54,38.38,3.53,78.34,103.9,1.0,1,6,2,unsafe
318,morning,cutter_D,senior,heat_area,on_time,ok,39.39,86.35,5.87,51.47,5.87,90.54,142.4,2.4,1,6,2,unsafe
319,morning,press_A,senior,loading,delayed,ok,49.62,150.14,7.99,59.98,6.56,78.09,146.6,,3,3,2,unsafe
320,morning,cutter_D,junior,maintenance,on_time,ok,29.96,38.23,5.42,47.46,8.09,74.48,238.4,7.1,1,3,3,unsafe
321,afternoon,press_A,senior,maintenance,on_time,ok,30.63,84.89,6.01,21.23,5.76,89.57,176.2,1.5,0,4,1,safe
322,afternoon,cutter_D,mid,heat_area,critical,ok,46.43,92.28,10.36,69.76,7.17,66.09,161.1,6.5,5,2,3,unsafe
323,afternoon,press_B,mid,loading,on_time,ok,32.7,126.46,6.88,54.66,7.68,76.05,49.8,5.0,2,4,3,safe
324,morning,press_A,mid,heat_area,on_time,ok,47.42,50.47,5.13,46.69,6.56,78.63,208.1,6.4,0,6,3,unsafe
325,night,press_B,junior,maintenance,critical,ok,41.43,28.97,10.78,64.0,8.51,81.14,106.2,5.4,1,6,2,unsafe
326,afternoon,press_A,junior,assembly,on_time,ok,54.05,85.49,0.3,73.34,5.64,80.62,72.5,6.7,0,7,3,safe
327,afternoon,press_A,junior,loading,on_time,missing,40.15,97.84,10.01,12.77,5.75,84.49,328.1,7.1,0,6,2,unsafe
328,afternoon,press_B,junior,loading,on_time,ok,24.97,150.14,1.75,58.08,7.28,78.68,90.8,4.6,2,2,1,safe
329,afternoon,cutter_D,junior,loading,on_time,ok,57.68,53.54,4.12,32.03,5.67,79.69,251.1,5.3,3,6,1,unsafe
330,morning,press_B,mid,assembly,delayed,ok,33.95,130.41,6.41,58.99,7.96,75.33,153.4,3.4,2,5,4,safe
331,afternoon,press_B,mid,maintenance,on_time,ok,43.3,172.86,5.18,53.79,6.37,73.5,170.1,8.3,0,3,2,safe
332,night,furnace_C,mid,assembly,on_time,ok,61.36,76.78,7.71,60.9,6.29,88.09,130.8,5.9,1,6,4,unsafe
333,morning,furnace_C,junior,loading,on_time,ok,58.4,52.82,3.17,45.01,5.87,73.18,80.6,3.4,2,5,2,unsafe
334,morning,press_A,senior,assembly,on_time,ok,57.13,65.76,6.07,25.77,6.78,86.62,186.3,3.3,0,10,4,unsafe
335,morning,press_B,senior,heat_area,critical,ok,59.75,90.49,6.53,45.69,6.7,79.17,148.0,5.1,1,6,4,unsafe
336,morning,press_A,mid,heat_area,on_time,ok,43.66,99.73,6.15,57.7,6.06,74.31,146.9,6.4,2,5,4,safe
337,night,press_A,senior,heat_area,on_time,ok,80.14,,5.36,66.22,6.62,86.57,136.6,,0,3,2,unsafe
338,afternoon,furnace_C,mid,assembly,on_time,ok,58.33,144.43,5.7,35.59,6.26,72.45,115.2,8.7,4,4,3,safe
339,afternoon,press_A,senior,assembly,delayed,ok,42.23,40.99,5.29,66.38,6.49,84.74,186.9,5.4,0,4,4,unsafe
340,morning,press_B,junior,heat_area,critical,ok,65.57,29.13,6.68,42.93,9.52,80.91,167.9,6.3,2,1,2,unsafe
341,afternoon,furnace_C,junior,loading,on_time,ok,58.99,136.73,6.13,57.07,4.71,73.63,197.1,5.1,0,7,2,safe
342,afternoon,press_A,junior,maintenance,on_time,ok,48.79,10.0,7.58,,6.42,83.76,117.9,5.3,0,4,3,unsafe
343,morning,furnace_C,junior,assembly,on_time,ok,85.91,82.86,4.18,54.55,3.95,83.92,113.1,5.0,1,5,2,unsafe
344,afternoon,press_A,junior,heat_area,delayed,partial,50.7,189.12,4.59,64.49,6.98,89.42,99.2,7.4,0,5,3,unsafe
345,afternoon,cutter_D,mid,assembly,on_time,ok,40.19,89.58,6.85,34.82,5.05,91.7,138.6,4.8,2,2,1,safe
346,afternoon,press_B,mid,assembly,delayed,ok,45.4,50.77,6.43,42.48,6.94,83.42,51.2,6.4,1,3,2,unsafe
347,afternoon,cutter_D,mid,loading,on_time,ok,56.86,95.99,7.33,54.59,6.02,72.85,406.3,3.9,1,2,1,safe
348,morning,furnace_C,junior,loading,delayed,missing,37.92,96.22,4.51,85.62,6.37,101.04,93.8,5.7,2,10,2,unsafe
349,afternoon,press_A,senior,assembly,on_time,ok,20.41,85.62,1.59,39.92,5.78,66.37,234.4,3.1,0,5,2,safe
350,afternoon,furnace_C,mid,assembly,on_time,ok,48.95,113.18,4.33,80.56,5.23,87.54,104.9,7.4,2,1,3,safe
351,afternoon,cutter_D,junior,assembly,on_time,ok,24.39,53.63,3.81,80.06,8.37,86.88,56.3,3.5,0,2,2,safe
352,night,furnace_C,mid,maintenance,on_time,ok,50.9,149.06,5.33,50.64,6.37,70.43,175.0,5.5,2,10,3,safe
353,afternoon,cutter_D,junior,maintenance,critical,ok,50.03,98.58,6.4,47.83,5.77,81.88,288.6,4.6,3,7,3,unsafe
354,morning,cutter_D,junior,assembly,delayed,ok,33.31,115.44,8.13,42.31,6.17,82.29,170.2,4.6,1,3,2,unsafe
355,morning,press_A,senior,assembly,delayed,partial,26.88,58.01,5.87,51.05,8.64,90.75,280.4,6.3,1,6,2,unsafe
356,afternoon,press_A,junior,maintenance,on_time,missing,44.83,125.02,5.83,32.31,6.19,72.58,227.7,4.6,1,1,2,safe
357,morning,furnace_C,mid,maintenance,on_time,ok,66.35,81.0,17.816006637641166,50.93,5.1,76.64,77.6,7.7,0,5,2,unsafe
358,afternoon,press_B,senior,heat_area,delayed,ok,33.66,99.71,6.93,72.96,6.41,57.98,187.7,3.1,1,3,1,safe
359,night,cutter_D,mid,assembly,on_time,missing,53.84,57.34,5.45,43.44,5.79,100.61,157.2,6.6,1,8,2,unsafe
360,afternoon,cutter_D,junior,assembly,on_time,ok,53.81,55.11,6.62,48.63,5.73,73.37,89.8,3.7,3,7,4,unsafe
361,afternoon,press_B,junior,loading,on_time,,55.45,122.09,3.75,28.18,5.64,81.94,218.1,6.2,1,5,2,safe
362,afternoon,press_A,junior,heat_area,on_time,ok,68.62,64.47,8.58,57.24,5.04,78.09,68.5,5.3,2,5,2,unsafe
363,afternoon,cutter_D,mid,assembly,on_time,ok,70.42,60.12,4.98,,5.42,82.12,211.3,4.5,1,4,4,safe
364,afternoon,press_A,mid,loading,on_time,ok,39.73,65.49,2.61,52.89,7.27,86.29,188.9,7.3,1,8,3,safe
365,night,cutter_D,junior,assembly,on_time,ok,45.31,114.46,5.91,48.96,6.0,100.04,140.0,5.3,4,5,3,unsafe
366,afternoon,press_B,senior,loading,critical,ok,39.0,75.98,5.93,47.9,7.03,81.26,96.3,6.0,1,2,3,unsafe
367,night,furnace_C,mid,heat_area,on_time,ok,66.02,85.88,6.96,59.03,7.65,86.9,186.4,4.6,2,4,2,unsafe
368,night,press_A,junior,assembly,on_time,ok,62.39,80.53,10.36,51.6,8.18,83.96,42.5,6.9,1,6,3,unsafe
369,morning,furnace_C,mid,loading,on_time,ok,39.86,30.89,3.77,56.41,5.63,88.16,86.7,2.3,1,4,4,safe
370,morning,press_B,mid,heat_area,delayed,partial,43.67,38.51,7.23,55.01,6.48,74.83,131.8,3.4,2,5,2,unsafe
371,morning,furnace_C,junior,maintenance,on_time,ok,72.53,101.77,1.64,67.73,4.88,88.68,140.1,5.1,1,4,2,unsafe
372,morning,press_A,junior,heat_area,on_time,ok,66.24,54.2,6.5,61.48,7.4,88.99,87.9,9.1,0,5,2,unsafe
373,morning,furnace_C,senior,heat_area,on_time,missing,61.64,126.99,3.55,54.7,5.73,88.74,89.0,5.0,1,6,2,unsafe
374,afternoon,cutter_D,mid,loading,on_time,partial,54.25,131.84,4.13,73.26,6.0,77.06,172.9,8.3,0,6,2,safe
375,morning,press_A,mid,heat_area,on_time,ok,,105.17,3.08,57.88,5.44,77.48,78.9,5.3,1,2,3,unsafe
376,morning,press_A,mid,maintenance,delayed,ok,,143.69,8.11,70.27,5.5,81.16,109.6,4.0,3,2,2,unsafe
377,night,press_A,junior,heat_area,delayed,ok,54.89,77.09,8.72,60.5,6.92,68.66,68.4,9.9,0,4,2,unsafe
378,morning,furnace_C,junior,heat_area,on_time,partial,78.31,112.71,5.55,,4.29,93.35,135.5,6.2,0,1,1,unsafe
379,night,furnace_C,mid,assembly,on_time,missing,87.7,69.55,3.6,70.27,7.29,80.89,118.9,4.9,2,3,3,unsafe
380,morning,press_B,junior,heat_area,critical,partial,61.18,175.83,11.3,53.89,6.61,81.56,40.3,6.3,0,9,2,unsafe
381,morning,press_A,junior,maintenance,on_time,ok,44.59,149.43,3.85,51.27,6.31,73.81,60.9,4.7,1,4,1,safe
382,afternoon,press_B,senior,maintenance,delayed,ok,52.67,90.42,1.74,55.94,5.56,67.06,241.7,,2,7,3,safe
383,afternoon,furnace_C,senior,assembly,on_time,ok,51.62,103.53,6.51,47.17,5.98,73.56,91.8,6.8,0,3,2,safe
384,night,press_B,mid,assembly,critical,ok,72.66,137.58,5.37,55.18,6.87,82.97,159.2,8.5,1,8,1,safe
385,afternoon,cutter_D,senior,maintenance,delayed,ok,46.16,84.85,8.67,43.71,6.43,89.06,76.0,8.7,1,5,2,unsafe
386,night,press_A,junior,maintenance,critical,ok,40.72,57.02,6.96,69.84,8.41,82.46,259.1,7.6,2,5,3,unsafe
387,morning,furnace_C,senior,assembly,delayed,ok,45.97,120.59,7.83,50.41,6.23,82.12,49.2,4.3,2,6,3,safe
388,morning,press_B,junior,heat_area,on_time,ok,67.17,92.75,8.58,46.64,6.27,75.97,229.9,7.1,0,6,2,unsafe
389,night,press_B,senior,heat_area,critical,ok,64.41,96.4,5.14,39.05,6.38,85.47,139.9,8.0,2,7,2,unsafe
390,night,furnace_C,senior,maintenance,on_time,ok,50.03,60.8,4.25,55.76,6.77,94.35,184.0,9.6,3,6,3,unsafe
391,night,furnace_C,mid,assembly,on_time,ok,62.92,29.88,5.33,54.62,7.69,87.34,243.5,,0,3,3,unsafe
392,afternoon,cutter_D,senior,assembly,delayed,ok,25.9,98.26,9.88,57.44,6.87,90.29,150.5,4.5,1,9,3,safe
393,afternoon,press_A,mid,loading,delayed,partial,46.22,119.67,5.05,37.62,7.4,81.65,292.7,3.3,1,2,3,safe
394,night,press_A,junior,assembly,critical,ok,49.43,72.1,6.49,29.58,7.29,67.47,241.5,7.8,1,3,2,unsafe
395,morning,furnace_C,mid,heat_area,on_time,missing,86.49,140.28,6.55,60.76,7.84,69.6,181.1,1.5,0,2,3,unsafe
396,night,furnace_C,mid,heat_area,delayed,ok,56.75,65.36,5.23,72.78,3.47,85.09,222.7,7.8,3,4,3,unsafe
397,night,press_A,junior,heat_area,delayed,,38.66,43.09,6.84,37.63,7.37,80.9,133.0,7.9,0,6,3,safe
398,afternoon,press_A,mid,heat_area,on_time,ok,43.25,77.65,2.09,74.25,7.78,82.96,81.0,6.0,0,2,4,safe
399,night,press_A,senior,heat_area,on_time,ok,37.96,77.11,10.37,55.97,4.76,96.09,377.4,6.5,0,6,2,unsafe
400,night,cutter_D,junior,assembly,on_time,partial,60.04,116.95,2.54,51.9,5.35,91.53,137.7,9.9,0,6,4,safe
401,morning,press_A,mid,loading,on_time,ok,62.58,60.88,4.79,46.43,5.39,90.33,154.1,6.6,1,5,3,unsafe
402,night,press_B,senior,maintenance,critical,partial,,137.88,7.73,32.62,6.35,81.85,62.6,4.9,0,5,3,safe
403,afternoon,press_A,senior,loading,on_time,ok,58.66,156.84,9.71,65.83,5.87,71.74,250.9,3.6,4,4,1,safe
404,night,press_B,senior,assembly,delayed,partial,45.61,88.63,3.59,41.14,7.62,80.48,152.1,4.4,1,2,3,unsafe
405,morning,press_A,mid,assembly,critical,ok,42.86,123.74,12.16,41.08,7.63,71.76,172.8,6.0,4,6,3,unsafe
406,night,press_B,senior,heat_area,on_time,partial,50.0,53.02,7.17,65.89,8.71,95.02,184.5,4.1,1,4,2,safe
407,afternoon,press_A,mid,heat_area,delayed,ok,50.28,117.63,7.42,25.64,5.41,86.11,90.4,7.1,1,8,3,unsafe
408,morning,cutter_D,junior,heat_area,on_time,ok,35.43,126.65,3.33,30.67,5.4,87.68,247.5,8.1,1,3,3,safe
409,night,press_A,mid,loading,delayed,ok,47.17,118.22,7.76,51.75,8.21,92.12,160.3,4.4,0,3,2,unsafe
410,morning,press_B,mid,assembly,on_time,missing,43.52,89.46,3.91,56.11,8.14,60.82,41.9,4.4,1,5,2,safe
411,morning,cutter_D,junior,assembly,critical,ok,52.94,10.0,10.59,58.79,6.61,88.29,223.1,5.3,1,4,2,unsafe
412,night,furnace_C,mid,heat_area,on_time,ok,67.12,67.54,3.36,47.77,6.62,69.2,126.7,8.1,3,3,2,unsafe
413,night,press_B,mid,loading,on_time,partial,42.05,76.09,5.25,87.43,7.26,80.93,95.6,9.6,0,4,1,unsafe
414,afternoon,press_B,junior,assembly,delayed,ok,33.55,55.76,5.28,48.81,7.98,76.19,52.4,1.8,1,4,1,safe
415,afternoon,press_B,mid,loading,on_time,ok,44.87,102.28,3.33,48.77,6.86,84.96,109.7,4.1,1,7,1,safe
